Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
235,11.00554515,0.000740324999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
236,11.02483795,0.0192928,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
237,11.139643575,0.114805625,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
238,11.15460485,0.014961275,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
239,11.155346975,0.000742125,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
240,11.174599975,0.019253,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
241,11.2907914,0.116191425,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
242,11.304542225,0.013750825,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
243,11.30528245,0.000740224999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
244,11.3244431,0.01916065,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
245,11.44191265,0.11746955,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
246,11.454197075,0.012284425,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
247,11.45493925,0.000742175000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
248,11.47422835,0.0192891,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
249,11.59173385,0.1175055,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
250,11.604090075,0.012356225,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
251,11.604832225,0.000742149999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
252,11.624060075,0.01922785,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
253,11.74315445,0.119094375,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
254,11.75909405,0.0159396,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
255,11.7598343,0.00074025,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
256,11.7788972,0.0190629,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
257,11.8931627,0.1142655,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
258,11.908688,0.0155253,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
259,11.909430575,0.000742575,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
260,11.928683275,0.0192527,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
261,12.04331075,0.114627475,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
262,12.05850025,0.0151895,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
263,12.05924245,0.000742199999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
264,12.078733275,0.019490825,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
265,12.193237525,0.11450425,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
266,12.20835205,0.015114525,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
267,12.20909225,0.000740199999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
268,12.2283315,0.01923925,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
269,12.343600725,0.115269225,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
270,12.3581459,0.014545175,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
271,12.35888815,0.00074225,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
272,12.3781707,0.01928255,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
273,12.491444425,0.113273725,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
274,12.502894325,0.0114499,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
275,12.50363655,0.000742225,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
276,12.52311945,0.0194829,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
277,12.640427325,0.117307875,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
278,12.652707425,0.0122801,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
279,12.653449675,0.00074225,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
280,12.672929475,0.0194798,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
281,12.794861075,0.1219316,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
282,12.80760235,0.012741275,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
283,12.808344625,0.000742275,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
284,12.827640275,0.01929565,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
285,12.944707125,0.11706685,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
286,12.957903775,0.01319665,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
287,12.95864475,0.000740974999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
288,12.977416725,0.018771975,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
289,13.09484005,0.117423325,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
290,13.107240325,0.012400275,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
291,13.1079805,0.000740175000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
292,13.12721755,0.01923705,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
293,13.24604285,0.1188253,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
294,13.261992575,0.015949725,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
295,13.26273485,0.000742274999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
296,13.28195965,0.0192248,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
297,13.395893075,0.113933425,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
298,13.4117725,0.015879425,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
299,13.412512825,0.000740325000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
300,13.43195365,0.019440825,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
301,13.546367375,0.114413725,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
302,13.5615968,0.015229425,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
303,13.56233895,0.000742149999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
304,13.581633625,0.019294675,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
305,13.69820125,0.116567625,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
306,13.7114517,0.01325045,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
307,13.7121942,0.000742500000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
308,13.731388975,0.019194775,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
309,13.847106425,0.11571745,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
310,13.86121615,0.014109725,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
311,13.861957525,0.000741374999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
312,13.881216375,0.01925885,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
313,13.99711005,0.115893675,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
314,14.01102705,0.013917,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
315,14.011766975,0.000739925000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
316,14.0310219,0.019254925,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
317,14.150011075,0.118989175,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
318,14.165924875,0.0159138,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
319,14.166667375,0.000742499999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
320,14.1860244,0.019357025,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
321,14.2974795,0.1114551,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
322,14.310690025,0.013210525,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
323,14.311432375,0.000742350000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
324,14.3306471,0.019214725,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
325,14.44956065,0.11891355,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
326,14.46592445,0.0163638,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
327,14.4666648,0.000740350000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
328,14.485815325,0.019150525,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
329,14.598738925,0.1129236,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
330,14.610909,0.012170075,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
331,14.611650325,0.000741325,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
332,14.63033595,0.018685625,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
333,14.662091475,0.031755525,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
334,14.6756303,0.013538825,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
335,14.7458428,0.0702125,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
336,14.760220125,0.014377325,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
337,14.760962175,0.000742049999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
338,14.780095375,0.0191332,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
339,14.862289675,0.0821943,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
340,14.876264625,0.01397495,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
341,14.896776025,0.0205114,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
342,14.90991675,0.013140725,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
343,14.910659175,0.000742424999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
344,14.929946025,0.01928685,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
345,15.049763525,0.1198175,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
346,15.06559105,0.015827525,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
347,15.066333325,0.000742275,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
348,15.086244225,0.0199109,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
349,15.091088625,0.0048444,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
350,15.10541755,0.014328925,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
351,15.196797675,0.091380125,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
352,15.209602075,0.0128044,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
353,15.2103444,0.000742325000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
354,15.22959715,0.01925275,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
355,15.2966344,0.06703725,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
356,15.3094705,0.0128361,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
357,15.34710375,0.03763325,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
358,15.359430025,0.012326275,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
359,15.3601719,0.000741874999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
360,15.3793932,0.0192213,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
361,15.501052925,0.121659725,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
362,15.514469075,0.01341615,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
363,15.53110895,0.016639875,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
364,15.544167575,0.013058625,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
365,15.54491,0.000742425,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
366,15.5641791,0.0192691,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
367,15.680808175,0.116629075,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
368,15.694001425,0.01319325,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
369,15.69474145,0.000740025000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
370,15.71393555,0.0191941,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
371,15.7305419,0.01660635,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
372,15.74401915,0.01347725,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
373,15.831111175,0.087092025,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
374,15.843933525,0.01282235,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
375,15.844673975,0.000740449999999,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
376,15.863750875,0.0190769,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
377,15.9150216,0.051270725,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
378,15.92892675,0.01390515,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
379,15.998949475,0.070022725,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
380,16.01354255,0.014593075,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
381,16.014282675,0.000740125,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
382,16.03371155,0.019428875,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
383,16.115286075,0.081574525,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
384,16.128468825,0.01318275,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
385,16.23683435,0.108365525,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
386,16.2482922,0.01145785,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
387,16.249032475,0.000740275,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
388,16.26831965,0.019287175,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
389,16.3255063,0.05718665,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
390,16.33820955,0.01270325,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
391,16.45473225,0.1165227,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
392,16.468083075,0.013350825,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
393,16.473649125,0.00556605,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
394,16.488010175,0.01436105,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
395,16.4887505,0.000740325000001,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
396,16.50803935,0.01928885,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
397,16.585365925,0.077326575,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
398,16.59793415,0.012568225,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
399,16.68349445,0.0855603,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
400,16.697773375,0.014278925,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
401,16.7034976,0.005724225,67108864,F,F,,HS CAN,,754,F,F,02,21,11,00,00,00,00,00,,,
402,16.71776105,0.01426345,67108864,F,F,,HS CAN,,75C,F,F,10,08,61,11,91,02,00,1E,,,
403,16.718502875,0.000741825,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
404,16.7377379,0.019235025,67108864,F,F,,HS CAN,,75C,F,F,21,1E,00,00,00,00,00,00,,,
405,16.74202995,0.00429205,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
406,16.757701625,0.015671675,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
407,16.870877025,0.1131754,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
408,16.882489025,0.011612,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
409,16.900543,0.018053975,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
410,16.912437425,0.011894425,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
411,17.000205325,0.0877679,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
412,17.012323625,0.0121183,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
413,17.084098325,0.0717747,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
414,17.097281025,0.0131827,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
415,17.118554825,0.0212738,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
416,17.13217545,0.013620625,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
417,17.25516485,0.1229894,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
418,17.267241225,0.012076375,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
419,17.27247325,0.005232025,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
420,17.287044275,0.014571025,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
421,17.38892885,0.101884575,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
422,17.401840675,0.012911825,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
423,17.451357625,0.04951695,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
424,17.46680595,0.015448325,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
425,17.5185872,0.05178125,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
426,17.531674875,0.013087675,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
427,17.639616425,0.10794155,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
428,17.651522775,0.01190635,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
429,17.6862705,0.034747725,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
430,17.701526825,0.015256325,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
431,17.825489075,0.12396225,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
432,17.84148655,0.015997475,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
433,17.903681625,0.062195075,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
434,17.9162854,0.012603775,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
435,17.9865125,0.0702271,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
436,18.001089425,0.014576925,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
437,18.108133175,0.10704375,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
438,18.12104545,0.012912275,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
439,18.153455925,0.032410475,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
440,18.16606975,0.012613825,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
441,18.2752814,0.10921165,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
442,18.290728675,0.015447275,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
443,18.3044368,0.013708125,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
444,18.320702375,0.016265575,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
445,18.404138525,0.08343615,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
446,18.42057025,0.016431725,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
447,18.504432725,0.083862475,67108864,F,F,,HS CAN,,754,F,F,02,21,12,00,00,00,00,00,,,
448,18.520457325,0.0160246,67108864,F,F,,HS CAN,,75C,F,F,04,61,12,00,20,00,00,00,,,
449,18.525700375,0.00524305,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
450,18.540421775,0.0147214,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
451,18.659073325,0.11865155,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
452,18.6763392,0.017265875,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
453,18.7880589,0.1117197,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
454,18.80015705,0.01209815,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
455,18.908956975,0.108799925,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
456,18.925674975,0.016718,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
457,19.04390815,0.118233175,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
458,19.05981575,0.0159076,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
459,19.17650915,0.1166934,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
460,19.1898936,0.01338445,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
461,19.3105591,0.1206655,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
462,19.324505775,0.013946675,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
463,19.444497275,0.1199915,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
464,19.459321425,0.01482415,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
465,19.57804995,0.118728525,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
466,19.59416345,0.0161135,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
467,19.712376825,0.118213375,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
468,19.724008775,0.01163195,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
469,19.77526805,0.051259275,67108864,F,F,,HS CAN,,754,F,F,02,21,14,00,00,00,00,00,,,
470,19.7889127,0.01364465,67108864,F,F,,HS CAN,,75C,F,F,05,61,14,00,12,7C,00,00,,,
471,19.841019875,0.052107175,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
472,19.853990325,0.01297045,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
473,19.961158075,0.10716775,67108864,F,F,,HS CAN,,754,F,F,02,21,14,00,00,00,00,00,,,
474,19.973648625,0.01249055,67108864,F,F,,HS CAN,,75C,F,F,05,61,14,00,12,7C,00,00,,,
475,20.02698145,0.053332825,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
476,20.03859955,0.0116181,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
477,20.1467834,0.10818385,67108864,F,F,,HS CAN,,754,F,F,02,21,14,00,00,00,00,00,,,
478,20.158467525,0.011684125,67108864,F,F,,HS CAN,,75C,F,F,05,61,14,00,12,7C,00,00,,,
479,20.226834,0.068366475,67108864,F,F,,HS CAN,,754,F,F,02,21,13,00,00,00,00,00,,,
480,20.238602275,0.011768275,67108864,F,F,,HS CAN,,75C,F,F,07,61,13,78,50,30,00,00,,,
481,20.309118975,0.0705167,67108864,F,F,,HS CAN,,754,F,F,02,21,14,00,00,00,00,00,,,
482,20.323295875,0.0141769,67108864,F,F,,HS CAN,,75C,F,F,05,61,14,00,12,7C,00,00,,,
