Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
52,4.522805,0.009955925,67108864,F,F,,HS CAN,,75C,F,F,23,04,FF,FF,FF,FF,80,04,,,
53,4.532798525,0.009993525,67108864,F,F,,HS CAN,,75C,F,F,24,FF,FF,FF,FF,A0,04,FF,,,
54,4.5431246,0.010326075,67108864,F,F,,HS CAN,,75C,F,F,25,FF,FF,FF,00,00,00,00,,,
55,4.552786225,0.009661625,67108864,F,F,,HS CAN,,75C,F,F,10,2C,E8,01,A1,28,FF,FF,,,
56,4.5535264,0.000740175,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
57,4.5727592,0.0192328,67108864,F,F,,HS CAN,,75C,F,F,21,FF,FF,FF,FF,FF,FF,FF,,,
58,4.582794775,0.010035575,67108864,F,F,,HS CAN,,75C,F,F,22,FF,FF,FF,FF,FF,FF,FF,,,
59,4.592726575,0.0099318,67108864,F,F,,HS CAN,,75C,F,F,23,FF,FF,FF,FF,FF,FF,FF,,,
60,4.60276635,0.010039775,67108864,F,F,,HS CAN,,75C,F,F,24,FF,FF,FF,FF,FF,FF,FF,,,
61,4.61271405,0.0099477,67108864,F,F,,HS CAN,,75C,F,F,25,FF,FF,FF,FF,FF,FF,FF,,,
62,4.622682,0.00996795,67108864,F,F,,HS CAN,,75C,F,F,26,FF,FF,FF,00,00,00,00,,,
63,4.63285975,0.01017775,67108864,F,F,,HS CAN,,75C,F,F,10,3D,E8,01,A2,16,FF,FF,,,
64,4.633599825,0.000740075,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
65,4.65266295,0.019063125,67108864,F,F,,HS CAN,,75C,F,F,21,FF,FF,FF,FF,FF,FF,FF,,,
66,4.662808675,0.010145725,67108864,F,F,,HS CAN,,75C,F,F,22,FF,FF,FF,FF,FF,FF,FF,,,
67,4.672618125,0.00980945,67108864,F,F,,HS CAN,,75C,F,F,23,FF,FF,FF,FF,FF,FF,B1,,,
68,4.6826125,0.009994375,67108864,F,F,,HS CAN,,75C,F,F,24,10,FF,FF,FF,FF,FF,FF,,,
69,4.692649575,0.010037075,67108864,F,F,,HS CAN,,75C,F,F,25,FF,FF,FF,FF,FF,FF,FF,,,
70,4.702656525,0.01000695,67108864,F,F,,HS CAN,,75C,F,F,26,FF,FF,FF,B2,03,FF,F9,,,
71,4.712563025,0.0099065,67108864,F,F,,HS CAN,,75C,F,F,27,3F,C0,04,FF,FF,FF,FF,,,
72,4.722558975,0.00999595,67108864,F,F,,HS CAN,,75C,F,F,28,E0,04,FF,FF,FF,FF,00,,,
73,4.732632625,0.01007365,67108864,F,F,,HS CAN,,75C,F,F,10,13,E8,01,E1,08,FF,FF,,,
74,4.733373125,0.0007405,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
75,4.752523825,0.0191507,67108864,F,F,,HS CAN,,75C,F,F,21,FF,FF,FF,FF,FF,FF,E2,,,
76,4.76250555,0.009981725,67108864,F,F,,HS CAN,,75C,F,F,22,05,FF,FF,FF,FF,FF,00,,,
77,5.95357105,1.1910655,67108864,F,F,,HS CAN,,754,F,F,02,21,00,00,00,00,00,00,,,
78,5.966437675,0.012866625,67108864,F,F,,HS CAN,,75C,F,F,06,61,00,00,00,FD,9B,00,,,
79,5.9707936,0.004355925,67108864,F,F,,HS CAN,,754,F,F,02,21,20,00,00,00,00,00,,,
80,5.986441375,0.015647775,67108864,F,F,,HS CAN,,75C,F,F,06,61,20,B0,00,00,01,00,,,
81,5.990037125,0.00359575,67108864,F,F,,HS CAN,,754,F,F,02,21,40,00,00,00,00,00,,,
82,6.006633525,0.0165964,67108864,F,F,,HS CAN,,75C,F,F,06,61,40,00,00,00,01,00,,,
83,6.011619925,0.0049864,67108864,F,F,,HS CAN,,754,F,F,02,21,60,00,00,00,00,00,,,
84,6.027085675,0.01546575,67108864,F,F,,HS CAN,,75C,F,F,06,61,60,00,00,00,01,00,,,
85,6.032145525,0.00505985,67108864,F,F,,HS CAN,,754,F,F,02,21,80,00,00,00,00,00,,,
86,6.046526575,0.01438105,67108864,F,F,,HS CAN,,75C,F,F,06,61,80,00,00,00,01,00,,,
87,6.05289675,0.006370175,67108864,F,F,,HS CAN,,754,F,F,02,21,A0,00,00,00,00,00,,,
